filename,width,height,class,xmin,ymin,xmax,ymax
DSCF1013.JPG,3648,2736,1,1217,1690,1706,1891
DSCF1013.JPG,3648,2736,2,1774,1619,2249,1843
DSCF1013.JPG,3648,2736,3,2313,1566,2773,1794
DSCF1013.JPG,3648,2736,4,1284,1832,1781,2063
DSCF1013.JPG,3648,2736,5,1879,1798,2365,2026
DSCF1013.JPG,3648,2736,6,2429,1742,2904,1970
DSCF1015.JPG,3648,2736,3,641,1342,1822,2234
DSCF1015.JPG,3648,2736,6,2053,1022,3175,1757
DSCF1016.JPG,3648,2736,4,1067,1843,2181,2456
DSCF1016.JPG,3648,2736,6,1954,1278,2975,1839
DSCF1016.JPG,3648,2736,3,2392,717,3356,1352
DSCF1017.JPG,3648,2736,4,1834,698,2623,1120
DSCF1021.JPG,3648,2736,5,1991,755,2914,1301
DSCF1023.JPG,3648,2736,2,1909,1166,2694,1618
DSCF1025.JPG,3648,2736,6,985,1570,2237,2280
DSCF1029.JPG,3648,2736,6,129,1648,1400,2381
DSCF1029.JPG,3648,2736,2,1456,1076,2578,1910
DSCF1029.JPG,3648,2736,1,2552,826,3610,1630
DSCF1032.JPG,3648,2736,5,144,1200,1127,1667
DSCF1032.JPG,3648,2736,6,2339,1125,3255,1581
DSCF1037.JPG,3648,2736,1,1210,1712,2679,2355
